symbol,time,action,price,actual_price,shares,gross_value,commission,slippage_cost,net_value,gross_pnl,net_pnl,gross_return,net_return
MSTR,2023-09-26 15:42:00,BUY,31.764,31.795763999999995,676,21493.936463999995,3.38,21.472463999996933,21497.316463999996,,,,
MSTR,2023-09-27 15:00:00,NEXT_DAY_EXIT,31.585,31.553415,676,21330.10854,3.38,21.351459999999832,21326.72854,-121.00399999999898,-170.58792399999882,-0.0056353104143054555,-0.00793531249752359
ILMN,2023-09-27 15:53:00,BUY,133.36,133.49336,130,17354.1368,1.0,17.336799999997652,17355.1368,,,,
ILMN,2023-09-28 15:39:00,NEXT_DAY_EXIT,132.15,132.01785,130,17162.3205,1.0,17.17949999999945,17161.3205,-157.30000000000103,-193.81630000000047,-0.009073185362927474,-0.011167661899386493
SPGI,2023-09-29 15:50:00,BUY,366.63,366.99663,49,17982.83487,1.0,17.964869999999337,17983.83487,,,,
SPGI,2023-10-02 15:16:00,NEXT_DAY_EXIT,365.6398,365.2741602,49,17898.4338498,1.0,17.91635019999984,17897.4338498,-48.51980000000077,-86.40102020000062,-0.0027008155360991075,-0.004804371304817292
PTON,2023-10-03 15:49:00,BUY,5.045,5.050044999999999,4904,24765.420679999996,24.52,24.74067999999548,24789.940679999996,,,,
PTON,2023-10-04 15:00:00,NEXT_DAY_EXIT,5.18,5.1748199999999995,4904,25377.31728,24.52,25.402720000000905,25352.79728,662.0399999999989,562.856599999998,0.026759167492566856,0.022705040212302678
BSX,2023-10-12 15:48:00,BUY,48.755,48.803754999999995,694,33869.805969999994,3.47,33.83596999999499,33873.275969999995,,,,
BSX,2023-10-13 15:14:00,NEXT_DAY_EXIT,49.625,49.575375,694,34405.31025,3.47,34.43974999999925,34401.84025,603.7799999999983,528.5642799999989,0.017844323659111833,0.015604167735890791
NFLX,2023-10-12 16:02:00,BUY,361.0,361.36099999999993,53,19152.132999999998,1.0,19.132999999996457,19153.132999999998,,,,
NFLX,2023-10-13 15:10:00,NEXT_DAY_EXIT,355.8,355.4442,53,18838.5426,1.0,18.85739999999936,18837.5426,-275.5999999999994,-315.59039999999874,-0.014404432132963958,-0.016477220724149866
GM,2023-10-20 15:48:00,BUY,29.615,29.644614999999995,1438,42628.95636999999,7.19,42.586369999994496,42636.146369999995,,,,
GM,2023-10-23 15:38:00,NEXT_DAY_EXIT,29.275,29.245725,1438,42055.35255,7.19,42.09744999999768,42048.16255,-488.9199999999998,-587.9838199999974,-0.011480668580111425,-0.013790735562670822
MCD,2023-10-25 15:38:00,BUY,258.66,258.91866,129,33400.50714,1.0,33.36713999999529,33401.50714,,,,
MCD,2023-10-26 15:00:00,NEXT_DAY_EXIT,257.97,257.71203,129,33244.851870000006,1.0,33.27813000000003,33243.851870000006,-89.0099999999997,-157.65526999999975,-0.002667594525632095,-0.0047200046794056046
DHR,2023-10-25 16:12:00,BUY,192.66,192.85266,240,46284.638399999996,1.2,46.238399999997455,46285.83839999999,,,,
DHR,2023-10-26 15:00:00,NEXT_DAY_EXIT,194.65,194.45535,240,46669.284,1.2,46.715999999998985,46668.084,477.6000000000022,382.2456000000032,0.01032907713069661,0.008258370447925238
IEP,2023-10-27 15:37:00,BUY,17.2,17.2172,856,14737.9232,4.28,14.723199999999139,14742.2032,,,,
IEP,2023-10-30 15:03:00,NEXT_DAY_EXIT,16.81,16.79319,856,14374.97064,4.28,14.389359999999613,14370.690639999999,-333.8400000000005,-371.5125600000001,-0.022674418604651195,-0.025200613162081508
ASO,2023-10-27 16:00:00,BUY,43.27,43.313269999999996,503,21786.57481,2.515,21.764809999996274,21789.089809999998,,,,
ASO,2023-10-30 15:37:00,NEXT_DAY_EXIT,44.05,44.00595,503,22134.99285,2.515,22.15714999999929,22132.47785,392.339999999997,343.3880399999978,0.018026346198289668,0.015759632136740354
CVX,2023-11-01 15:48:00,BUY,144.34,144.48433999999997,87,12570.137579999999,1.0,12.5575799999975,12571.137579999999,,,,
CVX,2023-11-02 15:00:00,NEXT_DAY_EXIT,147.74,147.59226,87,12840.52662,1.0,12.853379999999902,12839.52662,295.8000000000005,268.3890400000006,0.023555493972564817,0.02134962236249749
GKOS,2023-11-01 15:53:00,BUY,69.26,69.32925999999999,694,48114.50643999999,3.47,48.06643999999005,48117.97643999999,,,,
GKOS,2023-11-02 14:31:00,STOP_LOSS,61.37,61.30863,694,42548.18922,3.47,42.590779999997636,42544.71922,-5475.660000000005,-5573.257220000002,-0.1139185677158534,-0.11582484618715196
RIVN,2023-11-03 15:58:00,BUY,17.71,17.72771,688,12196.66448,3.44,12.184479999998246,12200.10448,,,,
RIVN,2023-11-06 15:00:00,NEXT_DAY_EXIT,17.005,16.987994999999998,688,11687.740559999998,3.44,11.69944000000072,11684.300559999998,-485.04000000000127,-515.803920000002,-0.039808018068887736,-0.04227864776449865
RNG,2023-11-06 15:48:00,BUY,28.3,28.3283,1995,56514.9585,9.975,56.45849999999599,56524.9335,,,,
RNG,2023-11-07 15:00:00,NEXT_DAY_EXIT,28.9,28.8711,1995,57597.8445,9.975,57.655500000000295,57587.8695,1196.9999999999957,1062.9359999999954,0.021201413427561763,0.01880472800556228
MRNA,2023-11-07 15:49:00,BUY,73.19,73.26319,458,33554.54102,2.29,33.521019999998515,33556.83102,,,,
MRNA,2023-11-08 15:00:00,NEXT_DAY_EXIT,70.7431,70.6723569,458,32367.9394602,2.29,32.40033980000064,32365.6494602,-1120.6801999999998,-1191.1815598000003,-0.033432162863779195,-0.035497438929499976
APD,2023-11-07 15:55:00,BUY,255.8994,256.1552994,133,34068.6548202,1.0,34.034620199996766,34069.6548202,,,,
APD,2023-11-08 15:10:00,NEXT_DAY_EXIT,256.715,256.458285,133,34108.951905,1.0,34.143094999998084,34107.951905,108.47479999999479,38.297084799996696,0.0031871899660568205,0.0011240819727146233
ADBE,2023-11-07 15:59:00,BUY,584.17,584.7541699999999,13,7601.804209999999,1.0,7.594209999999634,7602.804209999999,,,,
ADBE,2023-11-08 15:00:00,NEXT_DAY_EXIT,583.54,582.95646,13,7578.43398,1.0,7.586019999999621,7577.43398,-8.18999999999994,-25.370229999999562,-0.0010784531899960552,-0.0033369569042209445
ENPH,2023-11-10 16:04:00,BUY,77.6561,77.73375609999998,632,49127.733855199986,3.16,49.07865519999018,49130.89385519999,,,,
ENPH,2023-11-13 15:00:00,NEXT_DAY_EXIT,77.9,77.8221,632,49183.567200000005,3.16,49.23279999999977,49180.4072,154.14480000000674,49.51334480000699,0.003140770654205023,0.0010077843270251538
BRBR,2023-11-13 15:39:00,BUY,46.63,46.676629999999996,471,21984.69273,2.355,21.96272999999684,21987.04773,,,,
BRBR,2023-11-14 15:00:00,NEXT_DAY_EXIT,45.7,45.654300000000006,471,21503.175300000003,2.355,21.52469999999836,21500.820300000003,-438.02999999999986,-486.2274299999982,-0.019944241904353413,-0.022114266361307356
RCL,2023-11-13 15:39:00,BUY,98.51,98.60851,118,11635.80418,1.0,11.624179999998859,11636.80418,,,,
RCL,2023-11-14 15:00:00,NEXT_DAY_EXIT,101.49,101.38851,118,11963.84418,1.0,11.9758199999998,11962.84418,351.6399999999988,326.039999999999,0.030250735965891683,0.028018001760342328
VAL,2023-11-17 15:58:00,BUY,68.115,68.18311499999999,227,15477.567104999996,1.135,15.462104999998118,15478.702104999997,,,,
VAL,2023-11-20 15:11:00,NEXT_DAY_EXIT,67.96,67.89204,227,15411.493079999998,1.135,15.426919999999853,15410.358079999998,-35.18500000000026,-68.34402500000012,-0.0022755633854510925,-0.004415358893554992
CHPT,2023-11-17 16:03:00,BUY,40.598,40.638597999999995,340,13817.123319999999,1.7,13.803319999998536,13818.82332,,,,
CHPT,2023-11-20 15:00:00,NEXT_DAY_EXIT,42.5,42.4575,340,14435.550000000001,1.7,14.449999999998937,14433.85,646.6800000000003,615.0266800000014,0.04684959850238931,0.0445064435486249
MDGL,2023-12-04 15:37:00,BUY,217.96,218.17795999999998,149,32508.51604,1.0,32.476039999996516,32509.51604,,,,
MDGL,2023-12-05 15:00:00,NEXT_DAY_EXIT,235.35,235.11464999999998,149,35032.08285,1.0,35.06715000000165,35031.08285,2591.109999999998,2521.566809999996,0.07978528170306472,0.07756396025389728
ABT,2023-12-11 15:54:00,BUY,106.105,106.21110499999999,293,31119.853764999996,1.465,31.088764999995675,31121.318764999996,,,,
ABT,2023-12-12 15:00:00,NEXT_DAY_EXIT,106.79,106.68321,293,31258.18053,1.465,31.28947000000109,31256.71553,200.70500000000067,135.39676499999956,0.006455869186183519,0.004350611425640194
FUN,2023-12-13 16:00:00,BUY,38.98,39.01897999999999,407,15880.724859999997,2.035,15.864859999998018,15882.759859999996,,,,
FUN,2023-12-14 15:00:00,NEXT_DAY_EXIT,39.52,39.48048,407,16068.55536,2.035,16.084640000001265,16066.52036,219.78000000000253,183.7605000000013,0.013853258081067375,0.011569809127618536
